   Rate Number
0.00010  99
0.02240  84
0.04480  95
0.08960  84
0.17920  53
0.35840   6
0.71792   6
0.00010 103
0.02240  84
0.04480  94
0.08960  79
0.17920  75
0.35840  27
0.71792   7
0.00010 113
0.02240  91
0.04480  80
0.08960  76
0.17920  52
0.35840   6
0.71792   6
0.00010  86
0.02240  78
0.04480  85
0.08960  80
0.17920  53
0.35840  30
0.71792   8
0.00010 110
0.02240 104
0.04480  89
0.08960  84
0.17920  44
0.35840  17
0.71792   9
0.00010  94
0.02240 103
0.04480  97
0.08960  85
0.17920  58
0.35840  17
0.71792   7
0.00010  95
0.02240 113
0.04480  85
0.08960  79
0.17920  33
0.35840  19
0.71792   4
0.00010 101
0.02240 107
0.04480 105
0.08960  87
0.17920  75
0.35840  20
0.71792  11
